ID;Категория;Артикул;Имя товара;Цена;Количество;Производитель;Опция:Цвет;GroupID;GroupID;ManufID
120;Мобильные телефоны;1130456;Мобильный телефон Samsung Galaxy J7 2017;15 895,0;8;Samsung;золотистый;1;;0
121;Мобильные телефоны;1130456;Мобильный телефон Samsung Galaxy J7 2017;16 247,0;8;Samsung;розовый;2;;0
122;Мобильные телефоны;1130456;Мобильный телефон Samsung Galaxy J7 2017;15 774,0;12;Samsung;серебристый;3;;0
123;Мобильные телефоны;1130456;Мобильный телефон Samsung Galaxy J7 2017;16 225,0;9;Samsung;черный;4;;0
124;Мобильные телефоны;916477;Мобильный телефон Apple iPhone 7 Plus 32GB;38390,0;14;Apple;;0;;2
125;Мобильные телефоны;916477;Мобильный телефон Apple iPhone 7 Plus 32GB;38 390,0;11;Apple;золотистый;1;;2
126;Мобильные телефоны;916477;Мобильный телефон Apple iPhone 7 Plus 32GB;42 339,0;9;Apple;красный;7;;2
127;Мобильные телефоны;916477;Мобильный телефон Apple iPhone 7 Plus 32GB;38 390,0;13;Apple;розовый;2;;2
128;Мобильные телефоны;916477;Мобильный телефон Apple iPhone 7 Plus 32GB;38 390,0;7;Apple;серебристый;3;;2
129;Мобильные телефоны;916477;Мобильный телефон Apple iPhone 7 Plus 32GB;38 390,0;11;Apple;черный;4;;2
130;Мобильные телефоны;1204677;Мобильный телефон Apple iPhone X 64GB;69839,0;7;Apple;;0;;2
131;Мобильные телефоны;1204677;Мобильный телефон Apple iPhone X 64GB;71 377,9;10;Apple;серебристый;3;;2
132;Мобильные телефоны;1204677;Мобильный телефон Apple iPhone X 64GB;69 839,0;11;Apple;черный;4;;2
133;Мобильные телефоны;631333;Мобильный телефон Samsung Galaxy Note 5 32GB;15719,0;11;Samsung;;0;;0
134;Мобильные телефоны;631333;Мобильный телефон Samsung Galaxy Note 5 32GB;15 719,0;9;Samsung;золотистый;1;;0
135;Мобильные телефоны;631333;Мобильный телефон Samsung Galaxy Note 5 32GB;15 719,0;6;Samsung;черный;4;;0
136;Мобильные телефоны;631333;Мобильный телефон Samsung Galaxy Note 5 32GB;16 093,0;15;Samsung;белый;5;;0
137;Мобильные телефоны;631333;Мобильный телефон Samsung Galaxy Note 5 32GB;15 719,0;15;Samsung;синий;6;;0
138;Мобильные телефоны;1082893;Мобильный телефон Samsung Galaxy S8 Plus 64GB;42216,9;3;Samsung;;0;;0
139;Мобильные телефоны;1082893;Мобильный телефон Samsung Galaxy S8 Plus 64GB;42 216,9;15;Samsung;золотистый;1;;0
140;Мобильные телефоны;1082893;Мобильный телефон Samsung Galaxy S8 Plus 64GB;42 128,9;14;Samsung;серый;9;;0
141;Мобильные телефоны;1082893;Мобильный телефон Samsung Galaxy S8 Plus 64GB;42 007,9;14;Samsung;черный;4;;0
142;Мобильные телефоны;1082893;Мобильный телефон Samsung Galaxy S8 Plus 64GB;43 450,0;12;Samsung;синий;6;;0
143;Мобильные телефоны;543362;Мобильный телефон Samsung Galaxy S6 Edge 32GB;17919,0;10;Samsung;;0;;0
144;Мобильные телефоны;543362;Мобильный телефон Samsung Galaxy S6 Edge 32GB;17 919,0;14;Samsung;зеленый;10;;0
145;Мобильные телефоны;543362;Мобильный телефон Samsung Galaxy S6 Edge 32GB;17 919,0;14;Samsung;золотистый;1;;0
146;Мобильные телефоны;543362;Мобильный телефон Samsung Galaxy S6 Edge 32GB;17 919,0;7;Samsung;черный;4;;0
147;Мобильные телефоны;543362;Мобильный телефон Samsung Galaxy S6 Edge 32GB;17 919,0;13;Samsung;белый;5;;0
148;Мобильные телефоны;543362;Мобильный телефон Samsung Galaxy S6 Edge 32GB;17 919,0;5;Samsung;синий;6;;0
149;Мобильные телефоны;1014066;Мобильный телефон Samsung Galaxy A5 2017;18359,0;6;Samsung;;0;;0
150;Мобильные телефоны;1014066;Мобильный телефон Samsung Galaxy A5 2017;18 799,0;14;Samsung;золотистый;1;;0
151;Мобильные телефоны;1014066;Мобильный телефон Samsung Galaxy A5 2017;18 359,0;14;Samsung;розовый;2;;0
152;Мобильные телефоны;1014066;Мобильный телефон Samsung Galaxy A5 2017;18 370,0;7;Samsung;черный;4;;0
153;Мобильные телефоны;1014066;Мобильный телефон Samsung Galaxy A5 2017;18 359,0;13;Samsung;синий;6;;0
154;Мобильные телефоны;1190221;Мобильный телефон Xiaomi Redmi Note 5a 16GB;6586,8;4;Xiaomi;;0;;1
155;Мобильные телефоны;1190221;Мобильный телефон Xiaomi Redmi Note 5a 16GB;7 645,0;9;Xiaomi;золотистый;1;;1
156;Мобильные телефоны;1190221;Мобильный телефон Xiaomi Redmi Note 5a 16GB;8 030,0;10;Xiaomi;розовый;2;;1
157;Мобильные телефоны;1190221;Мобильный телефон Xiaomi Redmi Note 5a 16GB;7 478,9;6;Xiaomi;серебристый;3;;1
158;Мобильные телефоны;1190221;Мобильный телефон Xiaomi Redmi Note 5a 16GB;7 689,0;10;Xiaomi;черный;4;;1
159;Мобильные телефоны;453978;Мобильный телефон Apple iPhone 6 16GB;11440,0;7;Apple;;0;;2
160;Мобильные телефоны;453978;Мобильный телефон Apple iPhone 6 16GB;11 440,0;6;Apple;золотистый;1;;2
161;Мобильные телефоны;453978;Мобильный телефон Apple iPhone 6 16GB;11 440,0;12;Apple;серебристый;3;;2
162;Мобильные телефоны;453978;Мобильный телефон Apple iPhone 6 16GB;11 440,0;13;Apple;серый;9;;2
163;Мобильные телефоны;408252;Мобильный телефон Samsung Galaxy Note 4;11390,5;6;Samsung;;0;;0
164;Мобильные телефоны;408252;Мобильный телефон Samsung Galaxy Note 4;11 880,0;12;Samsung;золотистый;1;;0
165;Мобильные телефоны;408252;Мобильный телефон Samsung Galaxy Note 4;11 143,0;9;Samsung;розовый;2;;0
166;Мобильные телефоны;408252;Мобильный телефон Samsung Galaxy Note 4;11 880,0;6;Samsung;серый;9;;0
167;Мобильные телефоны;408252;Мобильный телефон Samsung Galaxy Note 4;11 390,5;13;Samsung;черный;4;;0
168;Мобильные телефоны;408252;Мобильный телефон Samsung Galaxy Note 4;11 390,5;9;Samsung;белый;5;;0
169;Мобильные телефоны;408252;Мобильный телефон Samsung Galaxy Note 4;11 143,0;13;Samsung;синий;6;;0
170;Мобильные телефоны;916490;Мобильный телефон Apple iPhone 7 Plus 128GB;42240,0;6;Apple;;0;;2
171;Мобильные телефоны;916490;Мобильный телефон Apple iPhone 7 Plus 128GB;42 240,0;14;Apple;золотистый;1;;2
172;Мобильные телефоны;916490;Мобильный телефон Apple iPhone 7 Plus 128GB;48 389,0;7;Apple;красный;7;;2
173;Мобильные телефоны;916490;Мобильный телефон Apple iPhone 7 Plus 128GB;42 240,0;14;Apple;розовый;2;;2
174;Мобильные телефоны;916490;Мобильный телефон Apple iPhone 7 Plus 128GB;42 240,0;12;Apple;серебристый;3;;2
175;Мобильные телефоны;916490;Мобильный телефон Apple iPhone 7 Plus 128GB;42 240,0;10;Apple;черный;4;;2
176;Мобильные телефоны;970462;Мобильный телефон Xiaomi Redmi 4 Pro 32GB;12859,0;12;Xiaomi;;0;;1
177;Мобильные телефоны;970462;Мобильный телефон Xiaomi Redmi 4 Pro 32GB;14 729,0;4;Xiaomi;золотистый;1;;1
178;Мобильные телефоны;970462;Мобильный телефон Xiaomi Redmi 4 Pro 32GB;10 659,0;10;Xiaomi;серый;9;;1
179;Мобильные телефоны;970462;Мобильный телефон Xiaomi Redmi 4 Pro 32GB;15 290,0;15;Xiaomi;черный;4;;1
180;Мобильные телефоны;970462;Мобильный телефон Xiaomi Redmi 4 Pro 32GB;15 290,0;6;Xiaomi;белый;5;;1
181;Мобильные телефоны;937057;Мобильный телефон Apple iPhone 6S 32GB;16093,0;12;Apple;;0;;2
182;Мобильные телефоны;937057;Мобильный телефон Apple iPhone 6S 32GB;18 601,0;10;Apple;золотистый;1;;2
183;Мобильные телефоны;937057;Мобильный телефон Apple iPhone 6S 32GB;18 601,0;3;Apple;розовый;2;;2
184;Мобильные телефоны;937057;Мобильный телефон Apple iPhone 6S 32GB;16 093,0;13;Apple;серебристый;3;;2
185;Мобильные телефоны;937057;Мобильный телефон Apple iPhone 6S 32GB;16 093,0;8;Apple;серый;9;;2
186;Мобильные телефоны;1248278;Мобильный телефон OnePlus 5T 64GB;31348,9;5;OnePlus;;0;;3
187;Мобильные телефоны;1248278;Мобильный телефон OnePlus 5T 64GB;31 348,9;13;OnePlus;черный;4;;3
188;Мобильные телефоны;901401;Мобильный телефон Xiaomi Redmi Note 4 64GB;11880,0;9;Xiaomi;;0;;1
