ID;Категория;Артикул;Имя товара;Цена;Количество;Производитель;Опция:Цвет;GroupID;GroupID;ManufID
2343;Мобильные телефоны;661816;Мобильный телефон Samsung Galaxy Note 5 Duos;28 369,0;13;Samsung;черный;4;;0
2344;Мобильные телефоны;1141188;Мобильный телефон Fly FS517 Cirrus 11;4277,9;8;Fly;;0;;33
2345;Мобильные телефоны;1141188;Мобильный телефон Fly FS517 Cirrus 11;4 939,0;3;Fly;золотистый;1;;33
2346;Мобильные телефоны;1141188;Мобильный телефон Fly FS517 Cirrus 11;4 422,0;14;Fly;красный;7;;33
2347;Мобильные телефоны;1141188;Мобильный телефон Fly FS517 Cirrus 11;4 101,9;11;Fly;черный;4;;33
2348;Мобильные телефоны;1141188;Мобильный телефон Fly FS517 Cirrus 11;5 489,0;2;Fly;бежевый;19;;33
2349;Мобильные телефоны;1141188;Мобильный телефон Fly FS517 Cirrus 11;4 101,9;10;Fly;белый;5;;33
2350;Мобильные телефоны;862800;Мобильный телефон Doogee X5 Max Pro;6050,0;2;Doogee;;0;;13
2351;Мобильные телефоны;862800;Мобильный телефон Doogee X5 Max Pro;5 709,0;8;Doogee;черный;4;;13
2352;Мобильные телефоны;862800;Мобильный телефон Doogee X5 Max Pro;5 709,0;15;Doogee;белый;5;;13
2353;Мобильные телефоны;899155;Мобильный телефон Vertex S104;1631,3;14;Vertex;;0;;37
2354;Мобильные телефоны;899155;Мобильный телефон Vertex S104;1 632,4;7;Vertex;золотистый;1;;37
2355;Мобильные телефоны;899155;Мобильный телефон Vertex S104;1 632,4;10;Vertex;красный;7;;37
2356;Мобильные телефоны;899155;Мобильный телефон Vertex S104;1 632,4;4;Vertex;синий;6;;37
2357;Мобильные телефоны;1277209;Мобильный телефон Fly FS529 Champ;4169,0;6;Fly;;0;;33
2358;Мобильные телефоны;1277209;Мобильный телефон Fly FS529 Champ;4 233,9;4;Fly;черный;4;;33
2359;Мобильные телефоны;1277209;Мобильный телефон Fly FS529 Champ;4 444,0;12;Fly;бежевый;19;;33
2360;Мобильные телефоны;1044500;Мобильный телефон HTC One A9s 32GB;13189,0;10;HTC;;0;;7
2361;Мобильные телефоны;1044500;Мобильный телефон HTC One A9s 32GB;12 628,0;7;HTC;серебристый;3;;7
2362;Мобильные телефоны;1044500;Мобильный телефон HTC One A9s 32GB;13 189,0;8;HTC;черный;4;;7
2363;Мобильные телефоны;915467;Мобильный телефон LG V20 64GB;25828,0;4;LG;;0;;10
2364;Мобильные телефоны;915467;Мобильный телефон LG V20 64GB;25 828,0;9;LG;черный;4;;10
2365;Мобильные телефоны;816687;Мобильный телефон TP-LINK Neffos C5 Max;7689,0;15;TP-LINK;;0;;42
2366;Мобильные телефоны;816687;Мобильный телефон TP-LINK Neffos C5 Max;7 686,8;4;TP-LINK;серый;9;;42
2367;Мобильные телефоны;816687;Мобильный телефон TP-LINK Neffos C5 Max;7 689,0;15;TP-LINK;белый;5;;42
2368;Мобильные телефоны;83710;Мобильный телефон Sony Ericsson Aino;5388,9;13;Sony Ericsson;;0;;22
2369;Мобильные телефоны;83710;Мобильный телефон Sony Ericsson Aino;5 388,9;3;Sony Ericsson;черный;4;;22
2370;Мобильные телефоны;83710;Мобильный телефон Sony Ericsson Aino;5 388,9;6;Sony Ericsson;белый;5;;22
2371;Мобильные телефоны;468132;Мобильный телефон Motorola Nexus 6 32GB;16489,0;9;Motorola;;0;;11
2372;Мобильные телефоны;71345;Мобильный телефон Nokia N79;4398,9;13;Nokia;;0;;6
2373;Мобильные телефоны;71345;Мобильный телефон Nokia N79;4 398,9;11;Nokia;черный;4;;6
2374;Мобильные телефоны;1215529;Мобильный телефон Philips Xenium E168;1969,0;13;Philips;;0;;24
2375;Мобильные телефоны;1215529;Мобильный телефон Philips Xenium E168;1 969,0;10;Philips;черный;4;;24
2376;Мобильные телефоны;1203538;Мобильный телефон BQ BQ-5044 Strike LTE;6391,0;13;BQ;;0;;18
2377;Мобильные телефоны;1203538;Мобильный телефон BQ BQ-5044 Strike LTE;6 589,0;2;BQ;золотистый;1;;18
2378;Мобильные телефоны;1203538;Мобильный телефон BQ BQ-5044 Strike LTE;6 589,0;2;BQ;розовый;2;;18
2379;Мобильные телефоны;1203538;Мобильный телефон BQ BQ-5044 Strike LTE;5 236,0;3;BQ;серебристый;3;;18
2380;Мобильные телефоны;1203538;Мобильный телефон BQ BQ-5044 Strike LTE;6 589,0;14;BQ;серый;9;;18
2381;Мобильные телефоны;1203538;Мобильный телефон BQ BQ-5044 Strike LTE;5 236,0;7;BQ;синий;6;;18
2382;Мобильные телефоны;592810;Мобильный телефон Meizu M2 Note 16GB;9889,0;11;Meizu;;0;;8
2383;Мобильные телефоны;592810;Мобильный телефон Meizu M2 Note 16GB;12 089,0;6;Meizu;серый;9;;8
2384;Мобильные телефоны;592810;Мобильный телефон Meizu M2 Note 16GB;9 154,2;7;Meizu;черный;4;;8
2385;Мобильные телефоны;592810;Мобильный телефон Meizu M2 Note 16GB;12 089,0;9;Meizu;белый;5;;8
2386;Мобильные телефоны;592810;Мобильный телефон Meizu M2 Note 16GB;9 154,2;6;Meizu;синий;6;;8
2387;Мобильные телефоны;947469;Мобильный телефон Digma Linx C500 3G;2638,9;7;Digma;;0;;27
2388;Мобильные телефоны;947469;Мобильный телефон Digma Linx C500 3G;4 279,0;13;Digma;графит;16;;27
2389;Мобильные телефоны;947469;Мобильный телефон Digma Linx C500 3G;3 386,9;3;Digma;белый;5;;27
2390;Мобильные телефоны;1188060;Мобильный телефон Texet TM-D328;2189,0;5;Texet;;0;;28
2391;Мобильные телефоны;1188060;Мобильный телефон Texet TM-D328;2 189,0;13;Texet;черный;4;;28
2392;Мобильные телефоны;975669;Мобильный телефон Samsung Galaxy J2 Prime;7502,0;13;Samsung;;0;;0
2393;Мобильные телефоны;975669;Мобильный телефон Samsung Galaxy J2 Prime;8 426,0;12;Samsung;золотистый;1;;0
2394;Мобильные телефоны;975669;Мобильный телефон Samsung Galaxy J2 Prime;8 426,0;15;Samsung;серебристый;3;;0
2395;Мобильные телефоны;975669;Мобильный телефон Samsung Galaxy J2 Prime;8 789,0;6;Samsung;черный;4;;0
2396;Мобильные телефоны;452263;Мобильный телефон Lenovo Vibe X2;8237,9;6;Lenovo;;0;;23
2397;Мобильные телефоны;452263;Мобильный телефон Lenovo Vibe X2;8 237,9;13;Lenovo;красный;7;;23
2398;Мобильные телефоны;452263;Мобильный телефон Lenovo Vibe X2;8 237,9;6;Lenovo;белый;5;;23
2399;Мобильные телефоны;308593;Мобильный телефон Nokia 515;13748,9;9;Nokia;;0;;6
2400;Мобильные телефоны;308593;Мобильный телефон Nokia 515;14 300,0;15;Nokia;золотистый;1;;6
2401;Мобильные телефоны;308593;Мобильный телефон Nokia 515;13 748,9;14;Nokia;черный;4;;6
2402;Мобильные телефоны;308593;Мобильный телефон Nokia 515;13 748,9;14;Nokia;белый;5;;6
2403;Мобильные телефоны;725702;Мобильный телефон LG K7 Duos;7414,0;14;LG;;0;;10
2404;Мобильные телефоны;725702;Мобильный телефон LG K7 Duos;8 787,9;6;LG;золотистый;1;;10
2405;Мобильные телефоны;725702;Мобильный телефон LG K7 Duos;5 423,0;8;LG;черный;4;;10
2406;Мобильные телефоны;725702;Мобильный телефон LG K7 Duos;5 423,0;10;LG;белый;5;;10
2407;Мобильные телефоны;38343;Мобильный телефон Sony Ericsson K750i;4178,9;6;Sony Ericsson;;0;;22
2408;Мобильные телефоны;38343;Мобильный телефон Sony Ericsson K750i;4 178,9;3;Sony Ericsson;черный;4;;22
2409;Мобильные телефоны;529466;Мобильный телефон Philips E160;2189,0;13;Philips;;0;;24
2410;Мобильные телефоны;529466;Мобильный телефон Philips E160;2 189,0;13;Philips;черный;4;;24
2411;Мобильные телефоны;543505;Мобильный телефон Sony Xperia M4 Aqua;10175,0;3;Sony;;0;;5
2412;Мобильные телефоны;543505;Мобильный телефон Sony Xperia M4 Aqua;10 175,0;6;Sony;белый;5;;5
2413;Мобильные телефоны;777856;Мобильный телефон Lenovo A6010 Music;6589,0;3;Lenovo;;0;;23
2414;Мобильные телефоны;777856;Мобильный телефон Lenovo A6010 Music;6 039,0;13;Lenovo;красный;7;;23
2415;Мобильные телефоны;777856;Мобильный телефон Lenovo A6010 Music;6 039,0;5;Lenovo;черный;4;;23
2416;Мобильные телефоны;777856;Мобильный телефон Lenovo A6010 Music;8 789,0;11;Lenovo;белый;5;;23
2417;Мобильные телефоны;82569;Мобильный телефон Samsung GT-C3050;3518,9;4;Samsung;;0;;0
2418;Мобильные телефоны;82569;Мобильный телефон Samsung GT-C3050;3 518,9;12;Samsung;черный;4;;0
2419;Мобильные телефоны;1006904;Мобильный телефон Homtom HT20;8138,9;15;Homtom;;0;;35
2420;Мобильные телефоны;1006904;Мобильный телефон Homtom HT20;7 029,0;11;Homtom;зеленый;10;;35
2421;Мобильные телефоны;1006904;Мобильный телефон Homtom HT20;7 029,0;13;Homtom;оранжевый;18;;35
2422;Мобильные телефоны;1006904;Мобильный телефон Homtom HT20;7 029,0;4;Homtom;черный;4;;35
2423;Мобильные телефоны;1006904;Мобильный телефон Homtom HT20;7 029,0;11;Homtom;белый;5;;35
2424;Мобильные телефоны;844284;Мобильный телефон Meizu M3s 32GB;9009,0;14;Meizu;;0;;8
2425;Мобильные телефоны;844284;Мобильный телефон Meizu M3s 32GB;9 009,0;8;Meizu;золотистый;1;;8
2426;Мобильные телефоны;844284;Мобильный телефон Meizu M3s 32GB;9 009,0;11;Meizu;серебристый;3;;8
2427;Мобильные телефоны;844284;Мобильный телефон Meizu M3s 32GB;9 009,0;3;Meizu;серый;9;;8
2428;Мобильные телефоны;105208;Мобильный телефон Fly Ezzy;1760,0;11;Fly;;0;;33
2429;Мобильные телефоны;105208;Мобильный телефон Fly Ezzy;1 483,9;8;Fly;черный;4;;33
2430;Мобильные телефоны;105208;Мобильный телефон Fly Ezzy;1 483,9;5;Fly;белый;5;;33
2431;Мобильные телефоны;785110;Мобильный телефон BQ BQ-5505 Amsterdam;7139,0;15;BQ;;0;;18
2432;Мобильные телефоны;785110;Мобильный телефон BQ BQ-5505 Amsterdam;5 709,0;12;BQ;золотистый;1;;18
2433;Мобильные телефоны;785110;Мобильный телефон BQ BQ-5505 Amsterdam;5 709,0;8;BQ;серебристый;3;;18
2434;Мобильные телефоны;785110;Мобильный телефон BQ BQ-5505 Amsterdam;7 139,0;3;BQ;черный;4;;18
2435;Мобильные телефоны;846176;Мобильный телефон OnePlus 3;26057,9;15;OnePlus;;0;;3
2436;Мобильные телефоны;846176;Мобильный телефон OnePlus 3;25 837,9;8;OnePlus;золотистый;1;;3
2437;Мобильные телефоны;846176;Мобильный телефон OnePlus 3;25 958,9;13;OnePlus;серый;9;;3
2438;Мобильные телефоны;846176;Мобильный телефон OnePlus 3;27 489,0;15;OnePlus;графит;16;;3
2439;Мобильные телефоны;844267;Мобильный телефон Meizu M3s 16GB;8349,0;15;Meizu;;0;;8
2440;Мобильные телефоны;844267;Мобильный телефон Meizu M3s 16GB;7 689,0;14;Meizu;золотистый;1;;8
2441;Мобильные телефоны;844267;Мобильный телефон Meizu M3s 16GB;7 689,0;2;Meizu;серебристый;3;;8
2442;Мобильные телефоны;844267;Мобильный телефон Meizu M3s 16GB;7 689,0;5;Meizu;серый;9;;8
2443;Мобильные телефоны;640072;Мобильный телефон Alcatel One Touch 1016D;913,0;15;Alcatel;;0;;14
2444;Мобильные телефоны;640072;Мобильный телефон Alcatel One Touch 1016D;818,4;6;Alcatel;черный;4;;14
2445;Мобильные телефоны;640072;Мобильный телефон Alcatel One Touch 1016D;818,4;4;Alcatel;белый;5;;14
2446;Мобильные телефоны;1251812;Мобильный телефон Motorola Moto C 16GB Dual;5021,5;9;Motorola;;0;;11
2447;Мобильные телефоны;1251812;Мобильный телефон Motorola Moto C 16GB Dual;5 020,4;12;Motorola;золотистый;1;;11
2448;Мобильные телефоны;1251812;Мобильный телефон Motorola Moto C 16GB Dual;5 269,0;14;Motorola;красный;7;;11
2449;Мобильные телефоны;1251812;Мобильный телефон Motorola Moto C 16GB Dual;5 020,4;12;Motorola;черный;4;;11
2450;Мобильные телефоны;1251812;Мобильный телефон Motorola Moto C 16GB Dual;5 020,4;11;Motorola;бордовый;22;;11
2451;Мобильные телефоны;658395;Мобильный телефон LG V10 Duos;16929,0;4;LG;;0;;10
2452;Мобильные телефоны;1280506;Мобильный телефон Prestigio Muze C7 LTE;6237,0;3;Prestigio;;0;;43
2453;Мобильные телефоны;1280506;Мобильный телефон Prestigio Muze C7 LTE;6 545,0;6;Prestigio;красный;7;;43
2454;Мобильные телефоны;1280506;Мобильный телефон Prestigio Muze C7 LTE;6 545,0;14;Prestigio;черный;4;;43
2455;Мобильные телефоны;1189306;Мобильный телефон MTC Smart Start;2079,0;4;MTC;;0;;44
2456;Мобильные телефоны;1189306;Мобильный телефон MTC Smart Start;2 079,0;12;MTC;черный;4;;44
2457;Мобильные телефоны;1189306;Мобильный телефон MTC Smart Start;2 079,0;4;MTC;белый;5;;44
2458;Мобильные телефоны;69714;Мобильный телефон Sony Ericsson W595i;3628,9;2;Sony Ericsson;;0;;22
2459;Мобильные телефоны;69714;Мобильный телефон Sony Ericsson W595i;5 170,0;14;Sony Ericsson;розовый;2;;22
2460;Мобильные телефоны;69714;Мобильный телефон Sony Ericsson W595i;3 628,9;12;Sony Ericsson;черный;4;;22
2461;Мобильные телефоны;69714;Мобильный телефон Sony Ericsson W595i;3 628,9;9;Sony Ericsson;белый;5;;22
2462;Мобильные телефоны;69714;Мобильный телефон Sony Ericsson W595i;3 628,9;10;Sony Ericsson;синий;6;;22
2463;Мобильные телефоны;1243851;Мобильный телефон Homtom Zoji Z6;5608,9;10;Homtom;;0;;35
2464;Мобильные телефоны;1243851;Мобильный телефон Homtom Zoji Z6;5 608,9;10;Homtom;зеленый;10;;35
2465;Мобильные телефоны;1243851;Мобильный телефон Homtom Zoji Z6;5 608,9;13;Homtom;оранжевый;18;;35
2466;Мобильные телефоны;1243851;Мобильный телефон Homtom Zoji Z6;5 608,9;7;Homtom;черный;4;;35
2467;Мобильные телефоны;224314;Мобильный телефон Samsung Galaxy S3 mini 8GB;7370,0;13;Samsung;;0;;0
2468;Мобильные телефоны;1183325;Мобильный телефон BQ BQ-5203 Vision;10131,0;15;BQ;;0;;18
2469;Мобильные телефоны;1183325;Мобильный телефон BQ BQ-5203 Vision;8 488,7;13;BQ;золотистый;1;;18
2470;Мобильные телефоны;1183325;Мобильный телефон BQ BQ-5203 Vision;8 488,7;13;BQ;серый;9;;18
2471;Мобильные телефоны;1183325;Мобильный телефон BQ BQ-5203 Vision;10 439,0;13;BQ;черный;4;;18
2472;Мобильные телефоны;1183325;Мобильный телефон BQ BQ-5203 Vision;10 439,0;5;BQ;синий;6;;18
2473;Мобильные телефоны;756715;Мобильный телефон LG G5 Duos;18689,0;13;LG;;0;;10
2474;Мобильные телефоны;756715;Мобильный телефон LG G5 Duos;18 689,0;3;LG;серебристый;3;;10
2475;Мобильные телефоны;756715;Мобильный телефон LG G5 Duos;18 689,0;11;LG;черный;4;;10
2476;Мобильные телефоны;1189226;Мобильный телефон Ginzzu S5001;2189,0;9;Ginzzu;;0;;45
2477;Мобильные телефоны;1189226;Мобильный телефон Ginzzu S5001;2 189,0;5;Ginzzu;черный;4;;45
2478;Мобильные телефоны;661876;Мобильный телефон Texet TM-513R;3509,0;7;Texet;;0;;28
2479;Мобильные телефоны;661876;Мобильный телефон Texet TM-513R;3 509,0;12;Texet;черный;4;;28
2480;Мобильные телефоны;891076;Мобильный телефон TP-LINK Neffos Y5L;3399,0;15;TP-LINK;;0;;42
2481;Мобильные телефоны;891076;Мобильный телефон TP-LINK Neffos Y5L;3 355,0;15;TP-LINK;желтый;15;;42
2482;Мобильные телефоны;891076;Мобильный телефон TP-LINK Neffos Y5L;4 156,9;4;TP-LINK;серый;9;;42
2483;Мобильные телефоны;891076;Мобильный телефон TP-LINK Neffos Y5L;4 156,9;15;TP-LINK;бежевый;19;;42
2484;Мобильные телефоны;891076;Мобильный телефон TP-LINK Neffos Y5L;3 355,0;13;TP-LINK;белый;5;;42
2485;Мобильные телефоны;267297;Мобильный телефон Sony Xperia SP;9240,0;3;Sony;;0;;5
2486;Мобильные телефоны;267297;Мобильный телефон Sony Xperia SP;6 270,0;14;Sony;красный;7;;5
2487;Мобильные телефоны;267297;Мобильный телефон Sony Xperia SP;6 270,0;8;Sony;черный;4;;5
2488;Мобильные телефоны;267297;Мобильный телефон Sony Xperia SP;6 270,0;10;Sony;белый;5;;5
2489;Мобильные телефоны;1202130;Мобильный телефон BQ BQ-5057 Strike 2;5709,0;15;BQ;;0;;18
2490;Мобильные телефоны;1202130;Мобильный телефон BQ BQ-5057 Strike 2;5 709,0;5;BQ;золотистый;1;;18
2491;Мобильные телефоны;1202130;Мобильный телефон BQ BQ-5057 Strike 2;5 709,0;5;BQ;серый;9;;18
2492;Мобильные телефоны;1202130;Мобильный телефон BQ BQ-5057 Strike 2;4 702,5;13;BQ;черный;4;;18
2493;Мобильные телефоны;947416;Мобильный телефон Digma Linx A400 3G;2088,9;3;Digma;;0;;27
2494;Мобильные телефоны;947416;Мобильный телефон Digma Linx A400 3G;2 086,7;4;Digma;серый;9;;27
2495;Мобильные телефоны;947416;Мобильный телефон Digma Linx A400 3G;2 088,9;7;Digma;черный;4;;27
2496;Мобильные телефоны;947416;Мобильный телефон Digma Linx A400 3G;2 086,7;7;Digma;графит;16;;27
2497;Мобильные телефоны;947416;Мобильный телефон Digma Linx A400 3G;2 086,7;10;Digma;белый;5;;27
2498;Мобильные телефоны;912180;Мобильный телефон Lenovo A Plus;4939,0;6;Lenovo;;0;;23
2499;Мобильные телефоны;912180;Мобильный телефон Lenovo A Plus;4 939,0;9;Lenovo;черный;4;;23
2500;Мобильные телефоны;469763;Мобильный телефон BlackBerry Passport;16489,0;12;BlackBerry;;0;;34
2501;Мобильные телефоны;469763;Мобильный телефон BlackBerry Passport;16 489,0;12;BlackBerry;белый;5;;34
2502;Мобильные телефоны;815294;Мобильный телефон Xiaomi Mi Max 128GB;19910,0;12;Xiaomi;;0;;1
2503;Мобильные телефоны;815294;Мобильный телефон Xiaomi Mi Max 128GB;21 615,0;3;Xiaomi;золотистый;1;;1
2504;Мобильные телефоны;815294;Мобильный телефон Xiaomi Mi Max 128GB;19 910,0;14;Xiaomi;серебристый;3;;1
2505;Мобильные телефоны;1143276;Мобильный телефон BQ BQ-4526 Fox;3518,9;13;BQ;;0;;18
2506;Мобильные телефоны;1143276;Мобильный телефон BQ BQ-4526 Fox;4 067,8;14;BQ;золотистый;1;;18
2507;Мобильные телефоны;1143276;Мобильный телефон BQ BQ-4526 Fox;3 183,4;6;BQ;красный;7;;18
2508;Мобильные телефоны;1143276;Мобильный телефон BQ BQ-4526 Fox;3 183,4;4;BQ;розовый;2;;18
2509;Мобильные телефоны;1143276;Мобильный телефон BQ BQ-4526 Fox;3 183,4;5;BQ;серебристый;3;;18
2510;Мобильные телефоны;1143276;Мобильный телефон BQ BQ-4526 Fox;4 169,0;11;BQ;серый;9;;18
2511;Мобильные телефоны;1143276;Мобильный телефон BQ BQ-4526 Fox;4 389,0;8;BQ;черный;4;;18
2512;Мобильные телефоны;1143276;Мобильный телефон BQ BQ-4526 Fox;3 518,9;13;BQ;бежевый;19;;18
2513;Мобильные телефоны;1143276;Мобильный телефон BQ BQ-4526 Fox;4 389,0;6;BQ;синий;6;;18
2514;Мобильные телефоны;997680;Мобильный телефон ZTE Blade A601;6567,0;14;ZTE;;0;;9
2515;Мобильные телефоны;997680;Мобильный телефон ZTE Blade A601;6 473,5;13;ZTE;золотистый;1;;9
2516;Мобильные телефоны;997680;Мобильный телефон ZTE Blade A601;6 059,9;6;ZTE;черный;4;;9
2517;Мобильные телефоны;811547;Мобильный телефон HTC Desire 830;13189,0;11;HTC;;0;;7
2518;Мобильные телефоны;811547;Мобильный телефон HTC Desire 830;13 189,0;13;HTC;черный;4;;7
2519;Мобильные телефоны;760973;Мобильный телефон Philips Xenium V377;8162,0;9;Philips;;0;;24
2520;Мобильные телефоны;760973;Мобильный телефон Philips Xenium V377;8 162,0;14;Philips;черный;4;;24
2521;Мобильные телефоны;915401;Мобильный телефон LG V20 32GB;20889,0;15;LG;;0;;10
2522;Мобильные телефоны;1202078;Мобильный телефон Fly FS458 Stratus 7;2948,0;4;Fly;;0;;33
2523;Мобильные телефоны;1202078;Мобильный телефон Fly FS458 Stratus 7;3 619,0;2;Fly;золотистый;1;;33
2524;Мобильные телефоны;1202078;Мобильный телефон Fly FS458 Stratus 7;2 787,4;9;Fly;красный;7;;33
2525;Мобильные телефоны;1202078;Мобильный телефон Fly FS458 Stratus 7;2 618,0;9;Fly;черный;4;;33
2526;Мобильные телефоны;1202078;Мобильный телефон Fly FS458 Stratus 7;2 787,4;2;Fly;бежевый;19;;33
2527;Мобильные телефоны;214341;Мобильный телефон Nokia Lumia 820;5388,9;3;Nokia;;0;;6
2528;Мобильные телефоны;214341;Мобильный телефон Nokia Lumia 820;5 388,9;11;Nokia;желтый;15;;6
2529;Мобильные телефоны;214341;Мобильный телефон Nokia Lumia 820;5 388,9;11;Nokia;красный;7;;6
2530;Мобильные телефоны;214341;Мобильный телефон Nokia Lumia 820;5 388,9;5;Nokia;черный;4;;6
2531;Мобильные телефоны;214341;Мобильный телефон Nokia Lumia 820;5 388,9;14;Nokia;белый;5;;6
2532;Мобильные телефоны;214341;Мобильный телефон Nokia Lumia 820;5 388,9;14;Nokia;синий;6;;6
2533;Мобильные телефоны;292860;Мобильный телефон Sony Xperia Z Ultra;15664,0;13;Sony;;0;;5
2534;Мобильные телефоны;292860;Мобильный телефон Sony Xperia Z Ultra;15 664,0;15;Sony;черный;4;;5
2535;Мобильные телефоны;292860;Мобильный телефон Sony Xperia Z Ultra;15 664,0;5;Sony;белый;5;;5
2536;Мобильные телефоны;1214796;Мобильный телефон Fly FS524 Knockout;3729,0;4;Fly;;0;;33
2537;Мобильные телефоны;1214796;Мобильный телефон Fly FS524 Knockout;3 683,9;3;Fly;красный;7;;33
2538;Мобильные телефоны;1214796;Мобильный телефон Fly FS524 Knockout;3 683,9;2;Fly;черный;4;;33
2539;Мобильные телефоны;1004978;Мобильный телефон Lenovo Vibe K5 Note Pro;12639,0;2;Lenovo;;0;;23
2540;Мобильные телефоны;1004978;Мобильный телефон Lenovo Vibe K5 Note Pro;12 639,0;4;Lenovo;серебристый;3;;23
2541;Мобильные телефоны;107355;Мобильный телефон Nokia C6-01;4838,9;10;Nokia;;0;;6
2542;Мобильные телефоны;107355;Мобильный телефон Nokia C6-01;4 838,9;5;Nokia;серебристый;3;;6
2543;Мобильные телефоны;107355;Мобильный телефон Nokia C6-01;4 838,9;7;Nokia;черный;4;;6
2544;Мобильные телефоны;1251130;Мобильный телефон Nokia 6 64GB Dual Sim;17545,0;5;Nokia;;0;;6
2545;Мобильные телефоны;1251130;Мобильный телефон Nokia 6 64GB Dual Sim;17 545,0;12;Nokia;синий;6;;6
2546;Мобильные телефоны;8325;Мобильный телефон Nokia 6310i;5058,9;8;Nokia;;0;;6
2547;Мобильные телефоны;8325;Мобильный телефон Nokia 6310i;5 058,9;9;Nokia;золотистый;1;;6
2548;Мобильные телефоны;8325;Мобильный телефон Nokia 6310i;5 058,9;4;Nokia;серый;9;;6
2549;Мобильные телефоны;8325;Мобильный телефон Nokia 6310i;5 058,9;6;Nokia;черный;4;;6
2550;Мобильные телефоны;891260;Мобильный телефон LG K3;4928,0;2;LG;;0;;10
2551;Мобильные телефоны;891260;Мобильный телефон LG K3;4 895,0;12;LG;черный;4;;10
2552;Мобильные телефоны;891260;Мобильный телефон LG K3;5 478,0;13;LG;синий;6;;10
2553;Мобильные телефоны;1273106;Мобильный телефон Samsung Galaxy A8 2018 64GB;30789,0;13;Samsung;;0;;0
2554;Мобильные телефоны;1273106;Мобильный телефон Samsung Galaxy A8 2018 64GB;33 990,0;10;Samsung;золотистый;1;;0
2555;Мобильные телефоны;1273106;Мобильный телефон Samsung Galaxy A8 2018 64GB;31 889,0;13;Samsung;серый;9;;0
2556;Мобильные телефоны;1273106;Мобильный телефон Samsung Galaxy A8 2018 64GB;29 645,0;9;Samsung;черный;4;;0
2557;Мобильные телефоны;824908;Мобильный телефон Philips E103;869,0;12;Philips;;0;;24
2558;Мобильные телефоны;824908;Мобильный телефон Philips E103;869,0;9;Philips;красный;7;;24
2559;Мобильные телефоны;824908;Мобильный телефон Philips E103;869,0;7;Philips;черный;4;;24
2560;Мобильные телефоны;879510;Мобильный телефон Xiaomi Redmi Pro 32GB;16280,0;12;Xiaomi;;0;;1
2561;Мобильные телефоны;879510;Мобильный телефон Xiaomi Redmi Pro 32GB;16 280,0;12;Xiaomi;золотистый;1;;1
2562;Мобильные телефоны;879510;Мобильный телефон Xiaomi Redmi Pro 32GB;19 019,0;10;Xiaomi;серебристый;3;;1
2563;Мобильные телефоны;1224100;Мобильный телефон Huawei Honor 7X 32GB Dual Sim;18689,0;9;Huawei;;0;;4
2564;Мобильные телефоны;1224100;Мобильный телефон Huawei Honor 7X 32GB Dual Sim;18 689,0;15;Huawei;красный;7;;4
2565;Мобильные телефоны;929315;Мобильный телефон Alcatel One Touch Pixi 4 6 9001D;6039,0;13;Alcatel;;0;;14
2566;Мобильные телефоны;929315;Мобильный телефон Alcatel One Touch Pixi 4 6 9001D;6 037,9;10;Alcatel;серебристый;3;;14
2567;Мобильные телефоны;929315;Мобильный телефон Alcatel One Touch Pixi 4 6 9001D;6 037,9;2;Alcatel;серый;9;;14
2568;Мобильные телефоны;929315;Мобильный телефон Alcatel One Touch Pixi 4 6 9001D;6 039,0;6;Alcatel;черный;4;;14
2569;Мобильные телефоны;1014480;Мобильный телефон BQ BQ-5520 Mercury;7359,0;11;BQ;;0;;18
2570;Мобильные телефоны;1014480;Мобильный телефон BQ BQ-5520 Mercury;7 357,9;11;BQ;золотистый;1;;18
2571;Мобильные телефоны;1014480;Мобильный телефон BQ BQ-5520 Mercury;7 357,9;5;BQ;серебристый;3;;18
2572;Мобильные телефоны;1014480;Мобильный телефон BQ BQ-5520 Mercury;7 590,0;10;BQ;черный;4;;18
2573;Мобильные телефоны;1230243;Мобильный телефон BQ BQ-2806 Energy XL;1813,9;13;BQ;;0;;18
2574;Мобильные телефоны;1230243;Мобильный телефон BQ BQ-2806 Energy XL;1 859,0;6;BQ;коричневый;14;;18
2575;Мобильные телефоны;1230243;Мобильный телефон BQ BQ-2806 Energy XL;1 406,9;6;BQ;черный;4;;18
2576;Мобильные телефоны;1230243;Мобильный телефон BQ BQ-2806 Energy XL;1 406,9;12;BQ;белый;5;;18
2577;Мобильные телефоны;1230243;Мобильный телефон BQ BQ-2806 Energy XL;1 406,9;13;BQ;синий;6;;18
2578;Мобильные телефоны;966877;Мобильный телефон Philips S326;5764,0;12;Philips;;0;;24
2579;Мобильные телефоны;966877;Мобильный телефон Philips S326;5 764,0;12;Philips;серый;9;;24
2580;Мобильные телефоны;616924;Мобильный телефон Philips S309;3509,0;3;Philips;;0;;24
2581;Мобильные телефоны;616924;Мобильный телефон Philips S309;3 509,0;8;Philips;красный;7;;24
2582;Мобильные телефоны;616924;Мобильный телефон Philips S309;3 509,0;15;Philips;черный;4;;24
2583;Мобильные телефоны;1280071;Мобильный телефон Prestigio Grace P5 DUO;4939,0;6;Prestigio;;0;;43
2584;Мобильные телефоны;1280071;Мобильный телефон Prestigio Grace P5 DUO;4 387,9;10;Prestigio;золотистый;1;;43
2585;Мобильные телефоны;1280071;Мобильный телефон Prestigio Grace P5 DUO;4 387,9;9;Prestigio;черный;4;;43
